step,community_0,community_1,community_2,community_4,community_7,community_9,community_10,community_11,community_12,community_13,community_14,community_16,community_18,community_20,community_22,community_25,community_26,community_28,community_29,community_31,community_34,community_37,community_38,community_79
57,0.0007,0.0006,0.0026,0.0010,0.0114,0.0196,0.0017,0.0241,0.0178,0.0002,0.0009,0.0001,0.0135,0.0006,0.0001,0.0002,0.0075,0.0059,0.0003,0.0251,0.0014,0.0001,0.0024,0.0136
58,0.0007,0.0007,0.0027,0.0011,0.0115,0.0200,0.0017,0.0240,0.0179,0.0002,0.0010,0.0001,0.0135,0.0007,0.0001,0.0002,0.0075,0.0059,0.0003,0.0253,0.0015,0.0001,0.0024,0.0138
59,0.0008,0.0007,0.0027,0.0011,0.0116,0.0205,0.0018,0.0238,0.0180,0.0002,0.0010,0.0001,0.0135,0.0007,0.0001,0.0002,0.0075,0.0059,0.0003,0.0254,0.0015,0.0001,0.0024,0.0139
60,0.0008,0.0008,0.0027,0.0012,0.0117,0.0208,0.0018,0.0237,0.0181,0.0003,0.0011,0.0001,0.0134,0.0007,0.0001,0.0002,0.0076,0.0059,0.0003,0.0256,0.0015,0.0002,0.0025,0.0141
61,0.0008,0.0009,0.0028,0.0012,0.0118,0.0212,0.0019,0.0236,0.0182,0.0003,0.0012,0.0001,0.0134,0.0007,0.0001,0.0002,0.0076,0.0060,0.0003,0.0258,0.0015,0.0002,0.0025,0.0142
62,0.0009,0.0009,0.0028,0.0012,0.0119,0.0215,0.0019,0.0234,0.0183,0.0003,0.0012,0.0001,0.0134,0.0007,0.0001,0.0002,0.0076,0.0060,0.0003,0.0259,0.0015,0.0002,0.0025,0.0144
63,0.0009,0.0010,0.0029,0.0013,0.0120,0.0218,0.0019,0.0233,0.0184,0.0003,0.0013,0.0001,0.0134,0.0007,0.0001,0.0002,0.0077,0.0060,0.0003,0.0260,0.0016,0.0002,0.0026,0.0145
64,0.0010,0.0011,0.0029,0.0013,0.0121,0.0220,0.0020,0.0232,0.0184,0.0003,0.0014,0.0001,0.0134,0.0008,0.0001,0.0002,0.0077,0.0060,0.0003,0.0262,0.0016,0.0002,0.0026,0.0146
65,0.0010,0.0011,0.0029,0.0014,0.0122,0.0222,0.0020,0.0231,0.0185,0.0003,0.0015,0.0001,0.0134,0.0008,0.0001,0.0002,0.0077,0.0061,0.0003,0.0263,0.0016,0.0002,0.0026,0.0148
66,0.0011,0.0012,0.0030,0.0014,0.0123,0.0224,0.0020,0.0230,0.0186,0.0003,0.0015,0.0001,0.0133,0.0008,0.0001,0.0002,0.0078,0.0061,0.0003,0.0264,0.0016,0.0002,0.0026,0.0149
67,0.0011,0.0013,0.0030,0.0015,0.0124,0.0225,0.0021,0.0228,0.0186,0.0003,0.0016,0.0001,0.0133,0.0008,0.0001,0.0002,0.0078,0.0061,0.0003,0.0265,0.0016,0.0002,0.0027,0.0151
68,0.0012,0.0013,0.0030,0.0015,0.0125,0.0226,0.0021,0.0227,0.0187,0.0004,0.0017,0.0001,0.0133,0.0008,0.0001,0.0002,0.0078,0.0061,0.0004,0.0266,0.0016,0.0002,0.0027,0.0152
69,0.0012,0.0014,0.0031,0.0016,0.0126,0.0227,0.0022,0.0226,0.0188,0.0004,0.0018,0.0001,0.0133,0.0008,0.0001,0.0002,0.0079,0.0062,0.0004,0.0267,0.0017,0.0002,0.0027,0.0153
70,0.0013,0.0015,0.0031,0.0016,0.0127,0.0228,0.0022,0.0225,0.0188,0.0004,0.0019,0.0001,0.0133,0.0009,0.0001,0.0002,0.0079,0.0062,0.0004,0.0268,0.0017,0.0002,0.0028,0.0154
71,0.0013,0.0016,0.0032,0.0017,0.0128,0.0229,0.0022,0.0224,0.0189,0.0004,0.0020,0.0001,0.0132,0.0009,0.0001,0.0003,0.0079,0.0062,0.0004,0.0269,0.0017,0.0002,0.0028,0.0156
72,0.0014,0.0016,0.0032,0.0017,0.0129,0.0229,0.0023,0.0224,0.0189,0.0004,0.0020,0.0001,0.0132,0.0009,0.0001,0.0003,0.0080,0.0062,0.0004,0.0270,0.0017,0.0003,0.0028,0.0157
73,0.0014,0.0017,0.0032,0.0018,0.0130,0.0229,0.0023,0.0223,0.0190,0.0004,0.0021,0.0001,0.0132,0.0009,0.0001,0.0003,0.0080,0.0062,0.0004,0.0270,0.0017,0.0003,0.0028,0.0158
74,0.0015,0.0018,0.0033,0.0018,0.0132,0.0229,0.0023,0.0222,0.0190,0.0005,0.0022,0.0001,0.0132,0.0009,0.0001,0.0003,0.0080,0.0062,0.0004,0.0271,0.0017,0.0003,0.0029,0.0159
75,0.0015,0.0019,0.0033,0.0019,0.0133,0.0229,0.0024,0.0221,0.0190,0.0005,0.0023,0.0001,0.0131,0.0010,0.0001,0.0003,0.0080,0.0062,0.0004,0.0272,0.0017,0.0003,0.0029,0.0160
76,0.0016,0.0019,0.0033,0.0019,0.0134,0.0229,0.0024,0.0220,0.0191,0.0005,0.0024,0.0001,0.0131,0.0010,0.0001,0.0003,0.0081,0.0063,0.0004,0.0272,0.0018,0.0003,0.0029,0.0161
77,0.0016,0.0020,0.0034,0.0020,0.0135,0.0229,0.0024,0.0220,0.0191,0.0005,0.0025,0.0001,0.0131,0.0010,0.0001,0.0003,0.0081,0.0063,0.0004,0.0273,0.0018,0.0003,0.0030,0.0162
78,0.0017,0.0021,0.0034,0.0020,0.0136,0.0228,0.0025,0.0219,0.0191,0.0006,0.0026,0.0001,0.0131,0.0010,0.0001,0.0003,0.0081,0.0063,0.0004,0.0273,0.0018,0.0003,0.0030,0.0163
79,0.0017,0.0022,0.0034,0.0021,0.0137,0.0228,0.0025,0.0218,0.0192,0.0006,0.0027,0.0001,0.0130,0.0010,0.0001,0.0003,0.0082,0.0063,0.0005,0.0274,0.0018,0.0003,0.0030,0.0164
80,0.0017,0.0022,0.0035,0.0021,0.0139,0.0227,0.0025,0.0218,0.0192,0.0006,0.0027,0.0001,0.0130,0.0011,0.0001,0.0003,0.0082,0.0063,0.0005,0.0274,0.0018,0.0003,0.0030,0.0165
81,0.0018,0.0023,0.0035,0.0022,0.0140,0.0227,0.0026,0.0217,0.0192,0.0007,0.0028,0.0001,0.0130,0.0011,0.0001,0.0003,0.0082,0.0063,0.0005,0.0274,0.0018,0.0004,0.0030,0.0166
82,0.0018,0.0024,0.0035,0.0022,0.0141,0.0226,0.0026,0.0216,0.0193,0.0007,0.0029,0.0001,0.0129,0.0011,0.0001,0.0003,0.0082,0.0063,0.0005,0.0275,0.0018,0.0004,0.0031,0.0167
83,0.0019,0.0025,0.0036,0.0023,0.0142,0.0226,0.0026,0.0216,0.0193,0.0007,0.0030,0.0001,0.0129,0.0011,0.0001,0.0003,0.0083,0.0063,0.0005,0.0275,0.0018,0.0004,0.0031,0.0168
84,0.0019,0.0026,0.0036,0.0023,0.0143,0.0225,0.0026,0.0215,0.0193,0.0008,0.0031,0.0001,0.0129,0.0012,0.0001,0.0003,0.0083,0.0064,0.0005,0.0275,0.0018,0.0004,0.0031,0.0169
85,0.0019,0.0026,0.0037,0.0024,0.0145,0.0224,0.0027,0.0215,0.0193,0.0008,0.0032,0.0001,0.0129,0.0012,0.0001,0.0003,0.0083,0.0064,0.0005,0.0275,0.0019,0.0004,0.0031,0.0170
86,0.0020,0.0027,0.0037,0.0024,0.0146,0.0223,0.0027,0.0214,0.0193,0.0009,0.0033,0.0001,0.0128,0.0012,0.0001,0.0004,0.0084,0.0064,0.0005,0.0275,0.0019,0.0004,0.0032,0.0171
87,0.0020,0.0028,0.0037,0.0025,0.0147,0.0223,0.0027,0.0214,0.0193,0.0009,0.0034,0.0001,0.0128,0.0012,0.0001,0.0004,0.0084,0.0064,0.0006,0.0276,0.0019,0.0004,0.0032,0.0172
88,0.0020,0.0029,0.0038,0.0025,0.0148,0.0222,0.0028,0.0213,0.0194,0.0009,0.0035,0.0001,0.0128,0.0012,0.0001,0.0004,0.0084,0.0064,0.0006,0.0276,0.0019,0.0005,0.0032,0.0173
89,0.0021,0.0030,0.0038,0.0026,0.0150,0.0221,0.0028,0.0213,0.0194,0.0010,0.0036,0.0001,0.0128,0.0013,0.0001,0.0004,0.0084,0.0064,0.0006,0.0276,0.0019,0.0005,0.0032,0.0174
90,0.0021,0.0030,0.0039,0.0026,0.0151,0.0220,0.0028,0.0212,0.0194,0.0010,0.0036,0.0001,0.0127,0.0013,0.0001,0.0004,0.0085,0.0064,0.0006,0.0276,0.0019,0.0005,0.0033,0.0174
91,0.0021,0.0031,0.0039,0.0027,0.0152,0.0220,0.0029,0.0212,0.0194,0.0011,0.0037,0.0002,0.0127,0.0013,0.0001,0.0004,0.0085,0.0064,0.0006,0.0276,0.0019,0.0005,0.0033,0.0175
92,0.0021,0.0032,0.0039,0.0027,0.0153,0.0219,0.0029,0.0211,0.0194,0.0012,0.0038,0.0002,0.0127,0.0013,0.0001,0.0004,0.0085,0.0064,0.0006,0.0276,0.0019,0.0005,0.0033,0.0176
93,0.0022,0.0033,0.0040,0.0027,0.0154,0.0218,0.0029,0.0211,0.0194,0.0012,0.0039,0.0002,0.0127,0.0014,0.0001,0.0004,0.0086,0.0064,0.0007,0.0276,0.0019,0.0005,0.0033,0.0177
94,0.0022,0.0034,0.0040,0.0028,0.0156,0.0217,0.0029,0.0210,0.0194,0.0013,0.0040,0.0002,0.0126,0.0014,0.0001,0.0004,0.0086,0.0064,0.0007,0.0276,0.0019,0.0005,0.0033,0.0177
95,0.0022,0.0035,0.0041,0.0028,0.0157,0.0217,0.0030,0.0210,0.0194,0.0013,0.0041,0.0002,0.0126,0.0014,0.0001,0.0004,0.0086,0.0064,0.0007,0.0276,0.0020,0.0006,0.0034,0.0178
96,0.0022,0.0035,0.0041,0.0029,0.0158,0.0216,0.0030,0.0210,0.0194,0.0014,0.0042,0.0002,0.0126,0.0015,0.0001,0.0004,0.0086,0.0064,0.0007,0.0276,0.0020,0.0006,0.0034,0.0179
97,0.0023,0.0036,0.0041,0.0029,0.0159,0.0215,0.0030,0.0209,0.0194,0.0015,0.0043,0.0002,0.0126,0.0015,0.0001,0.0004,0.0087,0.0065,0.0007,0.0275,0.0020,0.0006,0.0034,0.0180
98,0.0023,0.0037,0.0042,0.0030,0.0161,0.0215,0.0031,0.0209,0.0194,0.0016,0.0044,0.0002,0.0125,0.0015,0.0001,0.0004,0.0087,0.0065,0.0007,0.0275,0.0020,0.0006,0.0034,0.0180
99,0.0023,0.0038,0.0042,0.0030,0.0162,0.0214,0.0031,0.0209,0.0194,0.0016,0.0045,0.0002,0.0125,0.0015,0.0001,0.0004,0.0087,0.0065,0.0008,0.0275,0.0020,0.0006,0.0034,0.0181
100,0.0023,0.0039,0.0043,0.0031,0.0163,0.0213,0.0031,0.0208,0.0194,0.0017,0.0046,0.0002,0.0125,0.0016,0.0001,0.0005,0.0087,0.0065,0.0008,0.0275,0.0020,0.0006,0.0035,0.0182
101,0.0024,0.0040,0.0043,0.0031,0.0164,0.0213,0.0031,0.0208,0.0194,0.0018,0.0047,0.0002,0.0125,0.0016,0.0001,0.0005,0.0088,0.0065,0.0008,0.0275,0.0020,0.0007,0.0035,0.0182
102,0.0024,0.0041,0.0044,0.0032,0.0165,0.0212,0.0032,0.0208,0.0194,0.0019,0.0048,0.0002,0.0124,0.0016,0.0001,0.0005,0.0088,0.0065,0.0008,0.0275,0.0020,0.0007,0.0035,0.0183
103,0.0024,0.0041,0.0044,0.0032,0.0167,0.0212,0.0032,0.0208,0.0194,0.0020,0.0049,0.0002,0.0124,0.0017,0.0001,0.0005,0.0088,0.0065,0.0008,0.0274,0.0020,0.0007,0.0035,0.0184
104,0.0024,0.0042,0.0044,0.0032,0.0168,0.0211,0.0032,0.0207,0.0194,0.0021,0.0050,0.0002,0.0124,0.0017,0.0001,0.0005,0.0088,0.0065,0.0009,0.0274,0.0021,0.0007,0.0035,0.0184
105,0.0024,0.0043,0.0045,0.0033,0.0169,0.0210,0.0033,0.0207,0.0194,0.0022,0.0051,0.0002,0.0124,0.0017,0.0001,0.0005,0.0089,0.0065,0.0009,0.0274,0.0021,0.0007,0.0036,0.0185
106,0.0024,0.0044,0.0045,0.0033,0.0170,0.0210,0.0033,0.0207,0.0194,0.0023,0.0052,0.0002,0.0124,0.0018,0.0001,0.0005,0.0089,0.0065,0.0009,0.0274,0.0021,0.0007,0.0036,0.0185
107,0.0025,0.0045,0.0046,0.0034,0.0171,0.0209,0.0033,0.0207,0.0194,0.0024,0.0053,0.0002,0.0123,0.0018,0.0001,0.0005,0.0089,0.0065,0.0009,0.0273,0.0021,0.0008,0.0036,0.0186
108,0.0025,0.0046,0.0046,0.0034,0.0173,0.0209,0.0033,0.0206,0.0193,0.0026,0.0054,0.0002,0.0123,0.0018,0.0002,0.0005,0.0089,0.0065,0.0009,0.0273,0.0021,0.0008,0.0036,0.0186
109,0.0025,0.0047,0.0047,0.0035,0.0174,0.0208,0.0034,0.0206,0.0193,0.0027,0.0055,0.0002,0.0123,0.0019,0.0002,0.0005,0.0090,0.0065,0.0010,0.0273,0.0021,0.0008,0.0036,0.0187
110,0.0025,0.0048,0.0047,0.0035,0.0175,0.0208,0.0034,0.0206,0.0193,0.0028,0.0056,0.0002,0.0123,0.0019,0.0002,0.0005,0.0090,0.0065,0.0010,0.0273,0.0021,0.0008,0.0036,0.0188
111,0.0025,0.0049,0.0048,0.0036,0.0176,0.0207,0.0034,0.0206,0.0193,0.0030,0.0057,0.0002,0.0123,0.0020,0.0002,0.0005,0.0090,0.0065,0.0010,0.0272,0.0022,0.0008,0.0037,0.0188
112,0.0025,0.0050,0.0048,0.0036,0.0177,0.0207,0.0034,0.0205,0.0193,0.0031,0.0059,0.0002,0.0122,0.0020,0.0002,0.0005,0.0090,0.0065,0.0010,0.0272,0.0022,0.0009,0.0037,0.0189
