step,community_0,community_1,community_2,community_4,community_6,community_7,community_8,community_9,community_11,community_12,community_13,community_15,community_16,community_17,community_20,community_22,community_26,community_28,community_29,community_30,community_31,community_38,community_40,community_58
36,0.0002,0.0001,0.0060,0.0000,0.0121,0.0159,0.0086,0.0003,0.0147,0.0026,0.0313,0.0165,0.0084,0.0002,0.0029,0.0016,0.0071,0.0196,0.0007,0.0022,0.0054,0.0077,0.0046,0.0000
37,0.0002,0.0001,0.0061,0.0000,0.0126,0.0162,0.0087,0.0003,0.0148,0.0027,0.0316,0.0167,0.0086,0.0002,0.0030,0.0017,0.0072,0.0197,0.0007,0.0022,0.0057,0.0078,0.0047,0.0000
38,0.0002,0.0001,0.0063,0.0000,0.0130,0.0165,0.0088,0.0003,0.0149,0.0027,0.0319,0.0168,0.0087,0.0002,0.0030,0.0017,0.0073,0.0199,0.0008,0.0022,0.0059,0.0078,0.0047,0.0000
39,0.0002,0.0001,0.0064,0.0000,0.0135,0.0168,0.0089,0.0003,0.0149,0.0027,0.0321,0.0169,0.0089,0.0002,0.0031,0.0018,0.0074,0.0200,0.0008,0.0023,0.0061,0.0079,0.0048,0.0000
40,0.0002,0.0001,0.0065,0.0000,0.0139,0.0171,0.0090,0.0003,0.0150,0.0028,0.0323,0.0171,0.0091,0.0001,0.0031,0.0018,0.0075,0.0201,0.0008,0.0023,0.0064,0.0079,0.0048,0.0000
41,0.0002,0.0001,0.0066,0.0000,0.0144,0.0173,0.0090,0.0003,0.0150,0.0028,0.0325,0.0172,0.0092,0.0001,0.0032,0.0019,0.0076,0.0202,0.0009,0.0023,0.0066,0.0080,0.0049,0.0000
42,0.0001,0.0001,0.0067,0.0000,0.0148,0.0176,0.0091,0.0004,0.0151,0.0029,0.0327,0.0173,0.0093,0.0001,0.0032,0.0020,0.0076,0.0203,0.0009,0.0023,0.0069,0.0080,0.0049,0.0000
43,0.0001,0.0001,0.0068,0.0000,0.0152,0.0178,0.0092,0.0004,0.0151,0.0029,0.0329,0.0174,0.0095,0.0001,0.0033,0.0021,0.0077,0.0203,0.0009,0.0023,0.0072,0.0081,0.0050,0.0000
44,0.0001,0.0001,0.0069,0.0000,0.0156,0.0180,0.0093,0.0004,0.0151,0.0029,0.0330,0.0175,0.0096,0.0001,0.0033,0.0021,0.0078,0.0204,0.0010,0.0024,0.0074,0.0081,0.0050,0.0001
45,0.0001,0.0001,0.0070,0.0000,0.0160,0.0182,0.0094,0.0004,0.0152,0.0029,0.0331,0.0176,0.0098,0.0001,0.0034,0.0022,0.0079,0.0204,0.0010,0.0024,0.0077,0.0081,0.0051,0.0001
46,0.0001,0.0001,0.0071,0.0000,0.0163,0.0184,0.0095,0.0004,0.0152,0.0030,0.0332,0.0177,0.0099,0.0001,0.0034,0.0023,0.0080,0.0205,0.0011,0.0024,0.0080,0.0082,0.0051,0.0001
47,0.0001,0.0001,0.0072,0.0000,0.0167,0.0186,0.0095,0.0004,0.0152,0.0030,0.0333,0.0177,0.0100,0.0001,0.0034,0.0023,0.0081,0.0205,0.0011,0.0024,0.0083,0.0082,0.0052,0.0001
48,0.0001,0.0001,0.0073,0.0000,0.0170,0.0188,0.0096,0.0004,0.0152,0.0030,0.0334,0.0178,0.0101,0.0001,0.0035,0.0024,0.0081,0.0205,0.0011,0.0024,0.0086,0.0082,0.0052,0.0001
49,0.0001,0.0001,0.0073,0.0000,0.0173,0.0190,0.0097,0.0004,0.0153,0.0031,0.0335,0.0179,0.0103,0.0001,0.0035,0.0025,0.0082,0.0205,0.0012,0.0024,0.0089,0.0082,0.0053,0.0001
50,0.0001,0.0000,0.0074,0.0000,0.0176,0.0191,0.0097,0.0005,0.0153,0.0031,0.0335,0.0179,0.0104,0.0001,0.0036,0.0026,0.0083,0.0205,0.0012,0.0025,0.0092,0.0083,0.0053,0.0001
51,0.0001,0.0000,0.0075,0.0000,0.0179,0.0193,0.0098,0.0005,0.0153,0.0031,0.0336,0.0180,0.0105,0.0001,0.0036,0.0027,0.0084,0.0205,0.0013,0.0025,0.0095,0.0083,0.0054,0.0001
52,0.0001,0.0000,0.0076,0.0000,0.0181,0.0194,0.0099,0.0005,0.0153,0.0031,0.0336,0.0180,0.0106,0.0001,0.0036,0.0027,0.0085,0.0206,0.0014,0.0025,0.0098,0.0083,0.0054,0.0001
53,0.0001,0.0000,0.0077,0.0000,0.0184,0.0195,0.0099,0.0005,0.0153,0.0032,0.0336,0.0180,0.0107,0.0001,0.0037,0.0028,0.0086,0.0205,0.0014,0.0025,0.0102,0.0083,0.0055,0.0001
54,0.0001,0.0000,0.0077,0.0000,0.0186,0.0197,0.0100,0.0005,0.0153,0.0032,0.0337,0.0181,0.0108,0.0001,0.0037,0.0029,0.0086,0.0205,0.0015,0.0025,0.0105,0.0083,0.0055,0.0001
55,0.0001,0.0000,0.0078,0.0000,0.0188,0.0198,0.0100,0.0005,0.0153,0.0032,0.0337,0.0181,0.0109,0.0001,0.0038,0.0030,0.0087,0.0205,0.0015,0.0025,0.0108,0.0084,0.0056,0.0001
56,0.0001,0.0000,0.0079,0.0000,0.0190,0.0199,0.0101,0.0006,0.0153,0.0032,0.0337,0.0182,0.0110,0.0001,0.0038,0.0031,0.0088,0.0205,0.0016,0.0025,0.0111,0.0084,0.0056,0.0002
57,0.0001,0.0000,0.0080,0.0000,0.0192,0.0200,0.0101,0.0006,0.0153,0.0032,0.0337,0.0182,0.0111,0.0001,0.0038,0.0031,0.0089,0.0205,0.0016,0.0025,0.0115,0.0084,0.0057,0.0002
58,0.0001,0.0000,0.0080,0.0000,0.0193,0.0201,0.0102,0.0006,0.0154,0.0032,0.0337,0.0182,0.0112,0.0001,0.0038,0.0032,0.0090,0.0205,0.0017,0.0025,0.0118,0.0084,0.0057,0.0002
59,0.0001,0.0000,0.0081,0.0000,0.0195,0.0202,0.0102,0.0006,0.0154,0.0033,0.0337,0.0182,0.0113,0.0001,0.0039,0.0033,0.0091,0.0205,0.0018,0.0025,0.0122,0.0084,0.0058,0.0002
60,0.0001,0.0000,0.0082,0.0000,0.0196,0.0203,0.0103,0.0006,0.0154,0.0033,0.0336,0.0183,0.0113,0.0001,0.0039,0.0034,0.0091,0.0204,0.0018,0.0025,0.0125,0.0084,0.0058,0.0002
61,0.0000,0.0000,0.0082,0.0000,0.0197,0.0204,0.0103,0.0006,0.0154,0.0033,0.0336,0.0183,0.0114,0.0000,0.0039,0.0035,0.0092,0.0204,0.0019,0.0025,0.0129,0.0084,0.0059,0.0002
62,0.0000,0.0000,0.0083,0.0000,0.0199,0.0204,0.0104,0.0007,0.0154,0.0033,0.0336,0.0183,0.0115,0.0000,0.0040,0.0035,0.0093,0.0204,0.0020,0.0026,0.0132,0.0084,0.0059,0.0002
63,0.0000,0.0000,0.0083,0.0000,0.0199,0.0205,0.0104,0.0007,0.0154,0.0033,0.0335,0.0183,0.0116,0.0000,0.0040,0.0036,0.0094,0.0204,0.0021,0.0026,0.0136,0.0084,0.0060,0.0002
64,0.0000,0.0000,0.0084,0.0000,0.0200,0.0206,0.0104,0.0007,0.0154,0.0033,0.0335,0.0183,0.0117,0.0000,0.0040,0.0037,0.0095,0.0203,0.0021,0.0026,0.0139,0.0085,0.0060,0.0003
65,0.0000,0.0000,0.0085,0.0000,0.0201,0.0206,0.0105,0.0007,0.0154,0.0034,0.0335,0.0184,0.0117,0.0000,0.0041,0.0038,0.0095,0.0203,0.0022,0.0026,0.0143,0.0085,0.0061,0.0003
66,0.0000,0.0000,0.0085,0.0000,0.0202,0.0207,0.0105,0.0007,0.0154,0.0034,0.0334,0.0184,0.0118,0.0000,0.0041,0.0039,0.0096,0.0203,0.0023,0.0026,0.0146,0.0085,0.0061,0.0003
67,0.0000,0.0000,0.0086,0.0000,0.0202,0.0207,0.0106,0.0008,0.0154,0.0034,0.0334,0.0184,0.0119,0.0000,0.0041,0.0039,0.0097,0.0202,0.0024,0.0026,0.0150,0.0085,0.0062,0.0003
68,0.0000,0.0000,0.0086,0.0000,0.0203,0.0208,0.0106,0.0008,0.0154,0.0034,0.0333,0.0184,0.0119,0.0000,0.0041,0.0040,0.0098,0.0202,0.0025,0.0026,0.0153,0.0085,0.0062,0.0003
69,0.0000,0.0000,0.0087,0.0000,0.0203,0.0208,0.0106,0.0008,0.0154,0.0034,0.0333,0.0184,0.0120,0.0000,0.0042,0.0041,0.0099,0.0202,0.0026,0.0026,0.0157,0.0085,0.0063,0.0003
70,0.0000,0.0000,0.0087,0.0001,0.0203,0.0209,0.0107,0.0008,0.0154,0.0034,0.0332,0.0184,0.0121,0.0000,0.0042,0.0041,0.0099,0.0201,0.0027,0.0026,0.0161,0.0085,0.0063,0.0004
71,0.0000,0.0000,0.0088,0.0001,0.0203,0.0209,0.0107,0.0008,0.0154,0.0034,0.0332,0.0184,0.0121,0.0000,0.0042,0.0042,0.0100,0.0201,0.0028,0.0026,0.0164,0.0085,0.0064,0.0004
72,0.0000,0.0000,0.0088,0.0001,0.0204,0.0209,0.0107,0.0009,0.0154,0.0034,0.0331,0.0184,0.0122,0.0000,0.0042,0.0043,0.0101,0.0201,0.0029,0.0026,0.0168,0.0085,0.0064,0.0004
73,0.0000,0.0000,0.0088,0.0001,0.0204,0.0210,0.0107,0.0009,0.0154,0.0034,0.0330,0.0185,0.0123,0.0000,0.0042,0.0044,0.0102,0.0201,0.0030,0.0026,0.0171,0.0085,0.0065,0.0004
74,0.0000,0.0000,0.0089,0.0001,0.0204,0.0210,0.0108,0.0009,0.0154,0.0035,0.0330,0.0185,0.0123,0.0000,0.0043,0.0044,0.0102,0.0200,0.0032,0.0026,0.0175,0.0085,0.0065,0.0004
75,0.0000,0.0000,0.0089,0.0001,0.0204,0.0210,0.0108,0.0009,0.0154,0.0035,0.0329,0.0185,0.0124,0.0000,0.0043,0.0045,0.0103,0.0200,0.0033,0.0026,0.0178,0.0085,0.0066,0.0004
76,0.0000,0.0000,0.0090,0.0001,0.0204,0.0211,0.0108,0.0010,0.0154,0.0035,0.0329,0.0185,0.0124,0.0000,0.0043,0.0045,0.0104,0.0200,0.0035,0.0026,0.0182,0.0085,0.0066,0.0005
77,0.0000,0.0000,0.0090,0.0001,0.0203,0.0211,0.0108,0.0010,0.0154,0.0035,0.0328,0.0185,0.0125,0.0000,0.0043,0.0046,0.0104,0.0199,0.0036,0.0026,0.0185,0.0085,0.0067,0.0005
78,0.0000,0.0000,0.0090,0.0001,0.0203,0.0211,0.0109,0.0010,0.0154,0.0035,0.0327,0.0185,0.0125,0.0000,0.0043,0.0047,0.0105,0.0199,0.0038,0.0026,0.0189,0.0085,0.0068,0.0005
79,0.0000,0.0000,0.0091,0.0001,0.0203,0.0211,0.0109,0.0010,0.0155,0.0035,0.0327,0.0185,0.0126,0.0000,0.0044,0.0047,0.0106,0.0199,0.0039,0.0026,0.0192,0.0085,0.0068,0.0005
80,0.0000,0.0000,0.0091,0.0001,0.0203,0.0211,0.0109,0.0011,0.0155,0.0035,0.0326,0.0185,0.0126,0.0000,0.0044,0.0048,0.0106,0.0198,0.0041,0.0026,0.0196,0.0085,0.0069,0.0005
81,0.0000,0.0000,0.0092,0.0001,0.0203,0.0211,0.0109,0.0011,0.0155,0.0035,0.0325,0.0185,0.0127,0.0000,0.0044,0.0048,0.0107,0.0198,0.0043,0.0026,0.0199,0.0085,0.0069,0.0006
82,0.0000,0.0000,0.0092,0.0001,0.0202,0.0211,0.0110,0.0011,0.0155,0.0035,0.0325,0.0185,0.0127,0.0000,0.0044,0.0049,0.0108,0.0198,0.0045,0.0026,0.0202,0.0085,0.0070,0.0006
83,0.0000,0.0000,0.0092,0.0001,0.0202,0.0211,0.0110,0.0011,0.0155,0.0035,0.0324,0.0185,0.0128,0.0000,0.0044,0.0049,0.0108,0.0198,0.0047,0.0026,0.0205,0.0085,0.0070,0.0006
84,0.0000,0.0000,0.0093,0.0001,0.0202,0.0212,0.0110,0.0012,0.0155,0.0035,0.0323,0.0185,0.0128,0.0000,0.0044,0.0050,0.0109,0.0197,0.0049,0.0026,0.0209,0.0085,0.0071,0.0006
85,0.0000,0.0000,0.0093,0.0001,0.0201,0.0212,0.0110,0.0012,0.0155,0.0036,0.0323,0.0185,0.0129,0.0000,0.0044,0.0050,0.0110,0.0197,0.0051,0.0026,0.0212,0.0085,0.0072,0.0006
86,0.0000,0.0000,0.0093,0.0001,0.0201,0.0212,0.0110,0.0012,0.0155,0.0036,0.0322,0.0186,0.0129,0.0000,0.0045,0.0051,0.0110,0.0197,0.0054,0.0026,0.0215,0.0085,0.0072,0.0007
87,0.0000,0.0000,0.0093,0.0001,0.0201,0.0212,0.0111,0.0012,0.0155,0.0036,0.0322,0.0186,0.0129,0.0000,0.0045,0.0051,0.0111,0.0196,0.0056,0.0026,0.0218,0.0085,0.0073,0.0007
88,0.0000,0.0000,0.0094,0.0002,0.0200,0.0212,0.0111,0.0013,0.0155,0.0036,0.0321,0.0186,0.0130,0.0000,0.0045,0.0052,0.0111,0.0196,0.0059,0.0026,0.0221,0.0085,0.0073,0.0007
89,0.0000,0.0000,0.0094,0.0002,0.0200,0.0212,0.0111,0.0013,0.0155,0.0036,0.0320,0.0186,0.0130,0.0000,0.0045,0.0052,0.0112,0.0196,0.0061,0.0026,0.0224,0.0085,0.0074,0.0007
90,0.0000,0.0000,0.0094,0.0002,0.0200,0.0212,0.0111,0.0013,0.0156,0.0036,0.0320,0.0186,0.0131,0.0000,0.0045,0.0052,0.0113,0.0196,0.0064,0.0026,0.0227,0.0085,0.0075,0.0007
91,0.0000,0.0000,0.0095,0.0002,0.0199,0.0211,0.0111,0.0013,0.0156,0.0036,0.0319,0.0186,0.0131,0.0000,0.0045,0.0053,0.0113,0.0195,0.0067,0.0026,0.0230,0.0086,0.0075,0.0007
92,0.0000,0.0000,0.0095,0.0002,0.0199,0.0211,0.0111,0.0014,0.0156,0.0036,0.0318,0.0186,0.0131,0.0000,0.0045,0.0053,0.0114,0.0195,0.0070,0.0027,0.0233,0.0086,0.0076,0.0008
93,0.0000,0.0000,0.0095,0.0002,0.0199,0.0211,0.0111,0.0014,0.0156,0.0036,0.0318,0.0186,0.0132,0.0000,0.0045,0.0053,0.0114,0.0195,0.0073,0.0027,0.0236,0.0086,0.0076,0.0008
94,0.0000,0.0000,0.0095,0.0002,0.0198,0.0211,0.0112,0.0014,0.0156,0.0036,0.0317,0.0186,0.0132,0.0000,0.0046,0.0054,0.0115,0.0195,0.0076,0.0027,0.0238,0.0086,0.0077,0.0008
95,0.0000,0.0000,0.0096,0.0002,0.0198,0.0211,0.0112,0.0015,0.0156,0.0036,0.0316,0.0186,0.0132,0.0000,0.0046,0.0054,0.0115,0.0195,0.0080,0.0027,0.0241,0.0086,0.0078,0.0008
96,0.0000,0.0000,0.0096,0.0002,0.0198,0.0211,0.0112,0.0015,0.0156,0.0036,0.0316,0.0186,0.0133,0.0000,0.0046,0.0054,0.0116,0.0194,0.0083,0.0027,0.0244,0.0086,0.0078,0.0008
97,0.0000,0.0000,0.0096,0.0003,0.0197,0.0211,0.0112,0.0015,0.0156,0.0036,0.0315,0.0186,0.0133,0.0000,0.0046,0.0055,0.0117,0.0194,0.0087,0.0027,0.0246,0.0086,0.0079,0.0008
98,0.0000,0.0000,0.0096,0.0003,0.0197,0.0211,0.0112,0.0016,0.0156,0.0036,0.0315,0.0186,0.0133,0.0000,0.0046,0.0055,0.0117,0.0194,0.0090,0.0027,0.0249,0.0086,0.0079,0.0009
99,0.0000,0.0000,0.0096,0.0003,0.0197,0.0211,0.0112,0.0016,0.0157,0.0037,0.0314,0.0186,0.0134,0.0000,0.0046,0.0055,0.0118,0.0194,0.0094,0.0027,0.0251,0.0086,0.0080,0.0009
100,0.0000,0.0000,0.0097,0.0003,0.0196,0.0211,0.0112,0.0016,0.0157,0.0037,0.0313,0.0186,0.0134,0.0000,0.0046,0.0056,0.0118,0.0194,0.0098,0.0027,0.0254,0.0086,0.0081,0.0009
101,0.0000,0.0000,0.0097,0.0003,0.0196,0.0211,0.0112,0.0017,0.0157,0.0037,0.0313,0.0186,0.0134,0.0000,0.0046,0.0056,0.0119,0.0193,0.0101,0.0027,0.0256,0.0086,0.0081,0.0009
102,0.0000,0.0000,0.0097,0.0004,0.0196,0.0210,0.0112,0.0017,0.0157,0.0037,0.0312,0.0186,0.0135,0.0000,0.0046,0.0056,0.0119,0.0193,0.0105,0.0027,0.0258,0.0086,0.0082,0.0009
103,0.0000,0.0000,0.0097,0.0004,0.0195,0.0210,0.0113,0.0017,0.0157,0.0037,0.0312,0.0186,0.0135,0.0000,0.0046,0.0056,0.0120,0.0193,0.0109,0.0027,0.0261,0.0086,0.0082,0.0010
104,0.0000,0.0000,0.0097,0.0004,0.0195,0.0210,0.0113,0.0018,0.0157,0.0037,0.0311,0.0186,0.0135,0.0000,0.0046,0.0057,0.0120,0.0193,0.0113,0.0027,0.0263,0.0086,0.0083,0.0010
105,0.0000,0.0000,0.0098,0.0004,0.0195,0.0210,0.0113,0.0018,0.0157,0.0037,0.0311,0.0186,0.0135,0.0000,0.0047,0.0057,0.0121,0.0193,0.0117,0.0027,0.0265,0.0086,0.0084,0.0010
106,0.0000,0.0000,0.0098,0.0004,0.0194,0.0210,0.0113,0.0018,0.0158,0.0037,0.0310,0.0186,0.0136,0.0000,0.0047,0.0057,0.0121,0.0192,0.0121,0.0027,0.0267,0.0086,0.0084,0.0010
107,0.0000,0.0000,0.0098,0.0005,0.0194,0.0210,0.0113,0.0019,0.0158,0.0037,0.0310,0.0186,0.0136,0.0000,0.0047,0.0057,0.0122,0.0192,0.0125,0.0027,0.0269,0.0086,0.0085,0.0010
108,0.0000,0.0000,0.0098,0.0005,0.0194,0.0210,0.0113,0.0019,0.0158,0.0037,0.0309,0.0186,0.0136,0.0000,0.0047,0.0057,0.0122,0.0192,0.0129,0.0027,0.0271,0.0086,0.0086,0.0010
109,0.0000,0.0000,0.0098,0.0005,0.0194,0.0209,0.0113,0.0019,0.0158,0.0037,0.0309,0.0186,0.0136,0.0000,0.0047,0.0058,0.0122,0.0192,0.0134,0.0027,0.0273,0.0086,0.0086,0.0011
110,0.0000,0.0000,0.0099,0.0006,0.0193,0.0209,0.0113,0.0020,0.0158,0.0037,0.0308,0.0186,0.0137,0.0000,0.0047,0.0058,0.0123,0.0192,0.0138,0.0027,0.0275,0.0086,0.0087,0.0011
111,0.0000,0.0000,0.0099,0.0006,0.0193,0.0209,0.0113,0.0020,0.0158,0.0037,0.0308,0.0186,0.0137,0.0000,0.0047,0.0058,0.0123,0.0192,0.0142,0.0027,0.0276,0.0086,0.0088,0.0011
112,0.0000,0.0000,0.0099,0.0006,0.0193,0.0209,0.0113,0.0020,0.0159,0.0037,0.0307,0.0186,0.0137,0.0000,0.0047,0.0058,0.0124,0.0192,0.0146,0.0027,0.0278,0.0086,0.0088,0.0011
