step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_12,community_14,community_16,community_17,community_22,community_23,community_24,community_26,community_33,community_34,community_37,community_41,community_42,community_43,community_45,community_54,community_68
10,0.0024,0.0012,0.0009,0.0007,0.0023,0.0010,0.0013,0.0011,0.0011,0.0010,0.0010,0.0006,0.0006,0.0005,0.0008,0.0012,0.0010,0.0012,0.0012,0.0009,0.0029,0.0013,0.0122,0.0006,0.0018,0.0010,0.0010
11,0.0024,0.0010,0.0008,0.0006,0.0024,0.0009,0.0012,0.0010,0.0010,0.0009,0.0009,0.0005,0.0006,0.0005,0.0007,0.0011,0.0008,0.0011,0.0012,0.0008,0.0029,0.0012,0.0130,0.0005,0.0018,0.0009,0.0009
12,0.0024,0.0010,0.0007,0.0005,0.0025,0.0008,0.0011,0.0009,0.0009,0.0008,0.0008,0.0005,0.0005,0.0004,0.0007,0.0011,0.0007,0.0010,0.0011,0.0008,0.0030,0.0011,0.0138,0.0005,0.0019,0.0008,0.0008
13,0.0025,0.0009,0.0007,0.0004,0.0026,0.0008,0.0010,0.0008,0.0008,0.0007,0.0008,0.0005,0.0004,0.0003,0.0006,0.0010,0.0006,0.0010,0.0010,0.0007,0.0031,0.0010,0.0145,0.0005,0.0019,0.0007,0.0007
14,0.0025,0.0008,0.0006,0.0004,0.0027,0.0007,0.0009,0.0007,0.0007,0.0006,0.0007,0.0005,0.0004,0.0003,0.0005,0.0010,0.0006,0.0009,0.0010,0.0006,0.0032,0.0009,0.0152,0.0004,0.0020,0.0007,0.0006
15,0.0025,0.0007,0.0005,0.0003,0.0028,0.0006,0.0008,0.0007,0.0007,0.0006,0.0006,0.0005,0.0003,0.0003,0.0005,0.0010,0.0005,0.0008,0.0009,0.0005,0.0033,0.0008,0.0158,0.0004,0.0020,0.0006,0.0006
16,0.0026,0.0007,0.0005,0.0003,0.0030,0.0006,0.0007,0.0006,0.0006,0.0005,0.0006,0.0005,0.0003,0.0002,0.0004,0.0010,0.0005,0.0007,0.0009,0.0005,0.0034,0.0008,0.0163,0.0004,0.0021,0.0005,0.0005
17,0.0026,0.0006,0.0004,0.0002,0.0031,0.0005,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0003,0.0002,0.0004,0.0010,0.0004,0.0007,0.0009,0.0004,0.0035,0.0007,0.0168,0.0003,0.0022,0.0005,0.0005
18,0.0027,0.0006,0.0004,0.0002,0.0033,0.0005,0.0006,0.0005,0.0005,0.0004,0.0005,0.0005,0.0003,0.0002,0.0004,0.0010,0.0004,0.0006,0.0008,0.0004,0.0037,0.0006,0.0173,0.0003,0.0023,0.0005,0.0004
19,0.0027,0.0005,0.0004,0.0002,0.0034,0.0005,0.0005,0.0004,0.0005,0.0004,0.0004,0.0005,0.0002,0.0002,0.0003,0.0010,0.0004,0.0006,0.0008,0.0004,0.0038,0.0006,0.0177,0.0003,0.0024,0.0004,0.0004
20,0.0028,0.0005,0.0003,0.0002,0.0036,0.0004,0.0005,0.0004,0.0004,0.0004,0.0004,0.0005,0.0002,0.0001,0.0003,0.0010,0.0003,0.0005,0.0008,0.0003,0.0039,0.0006,0.0180,0.0003,0.0025,0.0004,0.0004
21,0.0029,0.0004,0.0003,0.0002,0.0038,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0006,0.0002,0.0001,0.0003,0.0011,0.0003,0.0005,0.0008,0.0003,0.0040,0.0005,0.0183,0.0003,0.0026,0.0004,0.0003
22,0.0029,0.0004,0.0003,0.0001,0.0039,0.0004,0.0004,0.0003,0.0003,0.0004,0.0003,0.0006,0.0002,0.0001,0.0002,0.0011,0.0003,0.0004,0.0007,0.0003,0.0041,0.0005,0.0186,0.0002,0.0027,0.0003,0.0003
23,0.0030,0.0004,0.0002,0.0001,0.0041,0.0003,0.0004,0.0003,0.0003,0.0004,0.0003,0.0006,0.0002,0.0001,0.0002,0.0011,0.0003,0.0004,0.0007,0.0002,0.0042,0.0005,0.0188,0.0002,0.0029,0.0003,0.0003
24,0.0030,0.0004,0.0002,0.0001,0.0042,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0007,0.0001,0.0001,0.0002,0.0012,0.0003,0.0004,0.0007,0.0002,0.0043,0.0004,0.0190,0.0002,0.0030,0.0003,0.0003
25,0.0031,0.0003,0.0002,0.0001,0.0044,0.0003,0.0003,0.0002,0.0003,0.0004,0.0002,0.0007,0.0001,0.0001,0.0002,0.0012,0.0003,0.0003,0.0007,0.0002,0.0044,0.0004,0.0192,0.0002,0.0032,0.0003,0.0002
26,0.0031,0.0003,0.0002,0.0001,0.0046,0.0003,0.0003,0.0002,0.0002,0.0004,0.0002,0.0007,0.0001,0.0001,0.0002,0.0013,0.0003,0.0003,0.0007,0.0002,0.0045,0.0004,0.0193,0.0002,0.0034,0.0003,0.0002
27,0.0032,0.0003,0.0002,0.0001,0.0047,0.0003,0.0003,0.0002,0.0002,0.0004,0.0002,0.0008,0.0001,0.0001,0.0002,0.0014,0.0003,0.0003,0.0007,0.0002,0.0045,0.0004,0.0195,0.0002,0.0036,0.0002,0.0002
28,0.0032,0.0003,0.0002,0.0001,0.0049,0.0002,0.0002,0.0002,0.0002,0.0004,0.0002,0.0008,0.0001,0.0001,0.0001,0.0014,0.0003,0.0003,0.0007,0.0002,0.0046,0.0004,0.0196,0.0002,0.0038,0.0002,0.0002
29,0.0033,0.0002,0.0001,0.0001,0.0050,0.0002,0.0002,0.0002,0.0002,0.0004,0.0002,0.0009,0.0001,0.0000,0.0001,0.0015,0.0004,0.0003,0.0007,0.0001,0.0047,0.0004,0.0196,0.0002,0.0040,0.0002,0.0002
30,0.0033,0.0002,0.0001,0.0001,0.0052,0.0002,0.0002,0.0002,0.0002,0.0004,0.0001,0.0009,0.0001,0.0000,0.0001,0.0016,0.0004,0.0002,0.0006,0.0001,0.0048,0.0003,0.0197,0.0002,0.0042,0.0002,0.0002
31,0.0034,0.0002,0.0001,0.0001,0.0053,0.0002,0.0002,0.0001,0.0002,0.0005,0.0001,0.0010,0.0001,0.0000,0.0001,0.0017,0.0004,0.0002,0.0006,0.0001,0.0049,0.0003,0.0197,0.0002,0.0045,0.0002,0.0001
32,0.0034,0.0002,0.0001,0.0001,0.0055,0.0002,0.0002,0.0001,0.0002,0.0005,0.0001,0.0010,0.0001,0.0000,0.0001,0.0018,0.0004,0.0002,0.0006,0.0001,0.0049,0.0003,0.0198,0.0002,0.0047,0.0002,0.0001
33,0.0035,0.0002,0.0001,0.0000,0.0056,0.0002,0.0002,0.0001,0.0001,0.0005,0.0001,0.0011,0.0001,0.0000,0.0001,0.0019,0.0004,0.0002,0.0006,0.0001,0.0050,0.0003,0.0198,0.0002,0.0050,0.0002,0.0001
34,0.0035,0.0002,0.0001,0.0000,0.0057,0.0002,0.0002,0.0001,0.0001,0.0006,0.0001,0.0012,0.0001,0.0000,0.0001,0.0020,0.0004,0.0002,0.0006,0.0001,0.0051,0.0003,0.0198,0.0002,0.0053,0.0002,0.0001
35,0.0036,0.0002,0.0001,0.0000,0.0059,0.0001,0.0002,0.0001,0.0001,0.0006,0.0001,0.0012,0.0001,0.0000,0.0001,0.0021,0.0005,0.0002,0.0006,0.0001,0.0051,0.0003,0.0198,0.0002,0.0056,0.0002,0.0001
36,0.0036,0.0002,0.0001,0.0000,0.0060,0.0001,0.0002,0.0001,0.0001,0.0006,0.0001,0.0013,0.0001,0.0000,0.0001,0.0022,0.0005,0.0001,0.0006,0.0001,0.0052,0.0003,0.0198,0.0002,0.0059,0.0002,0.0001
37,0.0036,0.0001,0.0001,0.0000,0.0061,0.0001,0.0001,0.0001,0.0001,0.0007,0.0001,0.0014,0.0001,0.0000,0.0001,0.0023,0.0005,0.0001,0.0006,0.0001,0.0053,0.0003,0.0197,0.0002,0.0062,0.0002,0.0001
38,0.0037,0.0001,0.0001,0.0000,0.0063,0.0001,0.0001,0.0001,0.0001,0.0007,0.0001,0.0014,0.0001,0.0000,0.0001,0.0025,0.0005,0.0001,0.0006,0.0001,0.0053,0.0003,0.0197,0.0002,0.0066,0.0002,0.0001
39,0.0037,0.0001,0.0001,0.0000,0.0064,0.0001,0.0001,0.0001,0.0001,0.0008,0.0001,0.0015,0.0001,0.0000,0.0001,0.0026,0.0006,0.0001,0.0007,0.0001,0.0054,0.0004,0.0197,0.0002,0.0069,0.0002,0.0001
40,0.0037,0.0001,0.0001,0.0000,0.0065,0.0001,0.0001,0.0001,0.0001,0.0009,0.0001,0.0016,0.0001,0.0000,0.0001,0.0027,0.0006,0.0001,0.0007,0.0001,0.0054,0.0004,0.0197,0.0002,0.0073,0.0002,0.0001
41,0.0038,0.0001,0.0001,0.0000,0.0067,0.0001,0.0001,0.0001,0.0001,0.0009,0.0001,0.0017,0.0001,0.0000,0.0001,0.0029,0.0006,0.0001,0.0007,0.0001,0.0055,0.0004,0.0196,0.0002,0.0077,0.0002,0.0001
42,0.0038,0.0001,0.0000,0.0000,0.0068,0.0001,0.0001,0.0001,0.0001,0.0010,0.0001,0.0018,0.0001,0.0000,0.0001,0.0031,0.0006,0.0001,0.0007,0.0001,0.0055,0.0004,0.0196,0.0002,0.0081,0.0002,0.0001
43,0.0038,0.0001,0.0000,0.0000,0.0069,0.0001,0.0001,0.0001,0.0001,0.0011,0.0001,0.0019,0.0001,0.0000,0.0000,0.0033,0.0006,0.0001,0.0007,0.0001,0.0056,0.0004,0.0195,0.0002,0.0085,0.0003,0.0001
44,0.0039,0.0001,0.0000,0.0000,0.0071,0.0001,0.0001,0.0000,0.0001,0.0012,0.0001,0.0019,0.0001,0.0000,0.0000,0.0035,0.0007,0.0001,0.0007,0.0001,0.0056,0.0004,0.0195,0.0002,0.0089,0.0003,0.0001
45,0.0039,0.0001,0.0000,0.0000,0.0072,0.0001,0.0001,0.0000,0.0001,0.0013,0.0001,0.0020,0.0001,0.0000,0.0000,0.0037,0.0007,0.0001,0.0007,0.0000,0.0056,0.0004,0.0194,0.0002,0.0093,0.0003,0.0001
46,0.0039,0.0001,0.0000,0.0000,0.0073,0.0001,0.0001,0.0000,0.0001,0.0014,0.0001,0.0021,0.0001,0.0000,0.0000,0.0039,0.0007,0.0001,0.0007,0.0000,0.0057,0.0005,0.0194,0.0002,0.0098,0.0003,0.0001
47,0.0040,0.0001,0.0000,0.0000,0.0074,0.0001,0.0001,0.0000,0.0001,0.0015,0.0001,0.0022,0.0001,0.0000,0.0000,0.0041,0.0007,0.0001,0.0007,0.0000,0.0057,0.0005,0.0193,0.0002,0.0102,0.0003,0.0001
48,0.0040,0.0001,0.0000,0.0000,0.0076,0.0001,0.0002,0.0000,0.0001,0.0016,0.0001,0.0024,0.0001,0.0000,0.0000,0.0044,0.0007,0.0001,0.0007,0.0000,0.0058,0.0005,0.0193,0.0002,0.0106,0.0003,0.0001
49,0.0040,0.0001,0.0000,0.0000,0.0077,0.0001,0.0002,0.0000,0.0001,0.0017,0.0001,0.0025,0.0002,0.0000,0.0000,0.0046,0.0008,0.0001,0.0008,0.0000,0.0058,0.0005,0.0192,0.0002,0.0111,0.0004,0.0001
50,0.0040,0.0001,0.0000,0.0000,0.0078,0.0001,0.0002,0.0000,0.0001,0.0018,0.0001,0.0026,0.0002,0.0000,0.0000,0.0049,0.0008,0.0001,0.0008,0.0000,0.0058,0.0006,0.0192,0.0002,0.0115,0.0004,0.0001
51,0.0040,0.0001,0.0000,0.0000,0.0079,0.0001,0.0002,0.0000,0.0001,0.0020,0.0001,0.0027,0.0002,0.0000,0.0000,0.0052,0.0008,0.0000,0.0008,0.0000,0.0059,0.0006,0.0191,0.0002,0.0120,0.0004,0.0001
52,0.0041,0.0001,0.0000,0.0000,0.0081,0.0000,0.0002,0.0000,0.0000,0.0021,0.0001,0.0028,0.0002,0.0000,0.0000,0.0055,0.0008,0.0000,0.0008,0.0000,0.0059,0.0006,0.0191,0.0002,0.0124,0.0004,0.0001
53,0.0041,0.0001,0.0000,0.0000,0.0082,0.0000,0.0002,0.0000,0.0000,0.0023,0.0001,0.0030,0.0002,0.0000,0.0000,0.0058,0.0008,0.0000,0.0008,0.0000,0.0059,0.0006,0.0190,0.0002,0.0129,0.0005,0.0001
54,0.0041,0.0001,0.0000,0.0000,0.0083,0.0000,0.0002,0.0000,0.0000,0.0025,0.0001,0.0031,0.0002,0.0000,0.0000,0.0062,0.0009,0.0000,0.0008,0.0000,0.0059,0.0007,0.0190,0.0002,0.0133,0.0005,0.0001
55,0.0041,0.0001,0.0001,0.0000,0.0084,0.0000,0.0002,0.0000,0.0000,0.0026,0.0001,0.0033,0.0002,0.0000,0.0000,0.0065,0.0009,0.0000,0.0009,0.0000,0.0060,0.0007,0.0189,0.0002,0.0138,0.0005,0.0001
56,0.0041,0.0001,0.0001,0.0000,0.0086,0.0000,0.0002,0.0000,0.0000,0.0028,0.0001,0.0034,0.0002,0.0000,0.0000,0.0069,0.0009,0.0000,0.0009,0.0000,0.0060,0.0007,0.0189,0.0002,0.0142,0.0006,0.0001
57,0.0041,0.0001,0.0001,0.0000,0.0087,0.0000,0.0003,0.0000,0.0000,0.0031,0.0001,0.0036,0.0002,0.0000,0.0000,0.0073,0.0009,0.0000,0.0009,0.0000,0.0060,0.0008,0.0188,0.0002,0.0147,0.0006,0.0001
58,0.0042,0.0001,0.0001,0.0000,0.0088,0.0000,0.0003,0.0000,0.0000,0.0033,0.0002,0.0037,0.0002,0.0000,0.0000,0.0078,0.0009,0.0000,0.0009,0.0000,0.0060,0.0008,0.0188,0.0002,0.0151,0.0006,0.0001
59,0.0042,0.0001,0.0001,0.0000,0.0089,0.0000,0.0003,0.0000,0.0000,0.0035,0.0002,0.0039,0.0002,0.0000,0.0000,0.0082,0.0009,0.0000,0.0010,0.0000,0.0060,0.0009,0.0187,0.0002,0.0155,0.0007,0.0001
60,0.0042,0.0001,0.0001,0.0000,0.0091,0.0000,0.0003,0.0000,0.0000,0.0038,0.0002,0.0041,0.0002,0.0000,0.0000,0.0087,0.0009,0.0000,0.0010,0.0000,0.0061,0.0009,0.0187,0.0002,0.0159,0.0007,0.0001
61,0.0042,0.0001,0.0001,0.0000,0.0092,0.0000,0.0003,0.0000,0.0000,0.0040,0.0002,0.0043,0.0002,0.0000,0.0000,0.0092,0.0010,0.0000,0.0010,0.0000,0.0061,0.0009,0.0186,0.0002,0.0163,0.0007,0.0001
62,0.0042,0.0001,0.0001,0.0000,0.0093,0.0000,0.0004,0.0000,0.0000,0.0043,0.0002,0.0045,0.0002,0.0000,0.0000,0.0097,0.0010,0.0000,0.0011,0.0000,0.0061,0.0010,0.0186,0.0003,0.0167,0.0008,0.0001
63,0.0042,0.0001,0.0001,0.0000,0.0095,0.0000,0.0004,0.0000,0.0000,0.0046,0.0002,0.0047,0.0002,0.0000,0.0000,0.0103,0.0010,0.0000,0.0011,0.0000,0.0061,0.0010,0.0185,0.0003,0.0171,0.0008,0.0001
64,0.0042,0.0001,0.0001,0.0000,0.0096,0.0000,0.0004,0.0000,0.0000,0.0049,0.0002,0.0049,0.0002,0.0000,0.0000,0.0108,0.0010,0.0000,0.0011,0.0000,0.0061,0.0011,0.0185,0.0003,0.0175,0.0009,0.0001
65,0.0042,0.0001,0.0001,0.0000,0.0097,0.0000,0.0004,0.0000,0.0000,0.0053,0.0003,0.0051,0.0002,0.0000,0.0000,0.0114,0.0010,0.0000,0.0012,0.0000,0.0062,0.0011,0.0184,0.0003,0.0179,0.0009,0.0002
66,0.0043,0.0001,0.0002,0.0000,0.0099,0.0000,0.0005,0.0000,0.0000,0.0056,0.0003,0.0053,0.0002,0.0000,0.0000,0.0120,0.0010,0.0000,0.0012,0.0000,0.0062,0.0011,0.0184,0.0003,0.0182,0.0009,0.0002
67,0.0043,0.0001,0.0002,0.0000,0.0100,0.0000,0.0005,0.0000,0.0000,0.0060,0.0003,0.0055,0.0002,0.0000,0.0000,0.0126,0.0010,0.0000,0.0012,0.0000,0.0062,0.0012,0.0183,0.0003,0.0186,0.0010,0.0002
68,0.0043,0.0001,0.0002,0.0000,0.0101,0.0000,0.0005,0.0000,0.0000,0.0064,0.0003,0.0058,0.0002,0.0000,0.0000,0.0133,0.0010,0.0000,0.0013,0.0000,0.0062,0.0012,0.0183,0.0003,0.0189,0.0010,0.0002
69,0.0043,0.0002,0.0002,0.0000,0.0103,0.0000,0.0006,0.0000,0.0000,0.0068,0.0003,0.0060,0.0002,0.0000,0.0000,0.0139,0.0011,0.0000,0.0013,0.0000,0.0062,0.0013,0.0182,0.0003,0.0193,0.0011,0.0002
70,0.0043,0.0002,0.0002,0.0000,0.0104,0.0000,0.0006,0.0000,0.0000,0.0072,0.0004,0.0062,0.0002,0.0000,0.0000,0.0146,0.0011,0.0000,0.0014,0.0000,0.0062,0.0013,0.0182,0.0003,0.0196,0.0011,0.0002
71,0.0043,0.0002,0.0002,0.0000,0.0106,0.0000,0.0006,0.0000,0.0000,0.0077,0.0004,0.0065,0.0002,0.0000,0.0000,0.0153,0.0011,0.0000,0.0014,0.0000,0.0062,0.0014,0.0182,0.0003,0.0199,0.0012,0.0003
72,0.0043,0.0002,0.0003,0.0000,0.0107,0.0000,0.0007,0.0000,0.0000,0.0081,0.0004,0.0068,0.0003,0.0000,0.0000,0.0159,0.0011,0.0000,0.0015,0.0000,0.0062,0.0014,0.0181,0.0003,0.0202,0.0012,0.0003
73,0.0043,0.0002,0.0003,0.0001,0.0108,0.0000,0.0007,0.0000,0.0000,0.0086,0.0005,0.0070,0.0003,0.0000,0.0000,0.0166,0.0011,0.0000,0.0015,0.0000,0.0062,0.0015,0.0181,0.0003,0.0205,0.0012,0.0003
74,0.0043,0.0002,0.0003,0.0001,0.0110,0.0000,0.0008,0.0000,0.0000,0.0091,0.0005,0.0073,0.0003,0.0000,0.0000,0.0174,0.0011,0.0000,0.0016,0.0000,0.0063,0.0015,0.0180,0.0004,0.0208,0.0013,0.0003
75,0.0043,0.0002,0.0004,0.0001,0.0111,0.0000,0.0008,0.0000,0.0000,0.0096,0.0005,0.0076,0.0003,0.0000,0.0000,0.0181,0.0011,0.0000,0.0016,0.0000,0.0063,0.0015,0.0180,0.0004,0.0210,0.0013,0.0004
76,0.0043,0.0003,0.0004,0.0001,0.0113,0.0000,0.0009,0.0000,0.0000,0.0101,0.0005,0.0079,0.0003,0.0000,0.0000,0.0188,0.0011,0.0000,0.0017,0.0000,0.0063,0.0016,0.0180,0.0004,0.0213,0.0014,0.0004
77,0.0043,0.0003,0.0004,0.0001,0.0114,0.0000,0.0009,0.0000,0.0000,0.0106,0.0006,0.0082,0.0003,0.0000,0.0000,0.0195,0.0011,0.0000,0.0017,0.0000,0.0063,0.0016,0.0179,0.0004,0.0216,0.0014,0.0004
78,0.0044,0.0003,0.0005,0.0001,0.0116,0.0000,0.0010,0.0000,0.0000,0.0112,0.0006,0.0085,0.0003,0.0000,0.0000,0.0202,0.0011,0.0000,0.0018,0.0000,0.0063,0.0017,0.0179,0.0004,0.0218,0.0015,0.0005
79,0.0044,0.0003,0.0005,0.0001,0.0117,0.0000,0.0011,0.0000,0.0000,0.0117,0.0007,0.0088,0.0003,0.0000,0.0000,0.0209,0.0011,0.0000,0.0018,0.0000,0.0063,0.0017,0.0178,0.0004,0.0220,0.0015,0.0005
80,0.0044,0.0003,0.0005,0.0001,0.0119,0.0000,0.0011,0.0000,0.0000,0.0123,0.0007,0.0092,0.0003,0.0000,0.0000,0.0216,0.0011,0.0000,0.0019,0.0000,0.0063,0.0017,0.0178,0.0004,0.0222,0.0016,0.0006
81,0.0044,0.0004,0.0006,0.0001,0.0120,0.0000,0.0012,0.0000,0.0000,0.0128,0.0007,0.0095,0.0003,0.0000,0.0000,0.0223,0.0012,0.0000,0.0020,0.0000,0.0063,0.0018,0.0178,0.0004,0.0225,0.0016,0.0006
82,0.0044,0.0004,0.0006,0.0001,0.0122,0.0000,0.0012,0.0000,0.0000,0.0134,0.0008,0.0098,0.0003,0.0000,0.0000,0.0230,0.0012,0.0000,0.0020,0.0000,0.0063,0.0018,0.0177,0.0004,0.0227,0.0017,0.0006
83,0.0044,0.0004,0.0007,0.0001,0.0123,0.0000,0.0013,0.0000,0.0000,0.0139,0.0008,0.0102,0.0003,0.0000,0.0000,0.0237,0.0012,0.0000,0.0021,0.0000,0.0063,0.0019,0.0177,0.0005,0.0229,0.0017,0.0007
84,0.0044,0.0004,0.0007,0.0001,0.0125,0.0000,0.0014,0.0000,0.0000,0.0145,0.0009,0.0105,0.0003,0.0000,0.0000,0.0243,0.0012,0.0000,0.0022,0.0000,0.0063,0.0019,0.0177,0.0005,0.0230,0.0018,0.0007
85,0.0044,0.0005,0.0008,0.0001,0.0126,0.0000,0.0014,0.0000,0.0000,0.0151,0.0009,0.0109,0.0003,0.0000,0.0000,0.0250,0.0012,0.0000,0.0023,0.0000,0.0063,0.0019,0.0176,0.0005,0.0232,0.0018,0.0008
86,0.0044,0.0005,0.0009,0.0001,0.0128,0.0000,0.0015,0.0000,0.0000,0.0156,0.0010,0.0112,0.0003,0.0000,0.0000,0.0256,0.0012,0.0000,0.0023,0.0000,0.0063,0.0020,0.0176,0.0005,0.0234,0.0019,0.0008
87,0.0044,0.0005,0.0009,0.0001,0.0129,0.0000,0.0016,0.0000,0.0000,0.0162,0.0010,0.0116,0.0003,0.0000,0.0000,0.0262,0.0012,0.0000,0.0024,0.0000,0.0063,0.0020,0.0176,0.0005,0.0235,0.0020,0.0009
88,0.0044,0.0006,0.0010,0.0001,0.0131,0.0000,0.0017,0.0000,0.0000,0.0167,0.0011,0.0120,0.0003,0.0000,0.0000,0.0268,0.0012,0.0000,0.0025,0.0000,0.0063,0.0020,0.0175,0.0005,0.0237,0.0020,0.0009
89,0.0045,0.0006,0.0011,0.0001,0.0133,0.0000,0.0017,0.0000,0.0000,0.0173,0.0011,0.0123,0.0003,0.0000,0.0001,0.0274,0.0012,0.0000,0.0026,0.0000,0.0063,0.0021,0.0175,0.0005,0.0238,0.0021,0.0010
90,0.0045,0.0006,0.0011,0.0001,0.0134,0.0000,0.0018,0.0000,0.0000,0.0178,0.0012,0.0127,0.0003,0.0000,0.0001,0.0279,0.0012,0.0000,0.0027,0.0000,0.0063,0.0021,0.0175,0.0005,0.0240,0.0021,0.0010
91,0.0045,0.0007,0.0012,0.0001,0.0136,0.0000,0.0019,0.0000,0.0000,0.0183,0.0012,0.0131,0.0003,0.0000,0.0001,0.0284,0.0012,0.0000,0.0027,0.0000,0.0063,0.0021,0.0175,0.0006,0.0241,0.0022,0.0011
92,0.0045,0.0007,0.0013,0.0002,0.0137,0.0000,0.0020,0.0000,0.0000,0.0188,0.0013,0.0135,0.0003,0.0000,0.0001,0.0290,0.0012,0.0000,0.0028,0.0000,0.0063,0.0022,0.0174,0.0006,0.0242,0.0023,0.0011
93,0.0045,0.0008,0.0014,0.0002,0.0139,0.0000,0.0021,0.0000,0.0000,0.0193,0.0013,0.0139,0.0003,0.0000,0.0001,0.0294,0.0012,0.0000,0.0029,0.0000,0.0063,0.0022,0.0174,0.0006,0.0243,0.0023,0.0012
94,0.0045,0.0008,0.0015,0.0002,0.0140,0.0000,0.0022,0.0000,0.0000,0.0198,0.0014,0.0143,0.0003,0.0000,0.0001,0.0299,0.0012,0.0000,0.0030,0.0000,0.0063,0.0022,0.0174,0.0006,0.0245,0.0024,0.0013
95,0.0045,0.0008,0.0016,0.0002,0.0141,0.0000,0.0022,0.0000,0.0000,0.0202,0.0015,0.0147,0.0003,0.0000,0.0001,0.0303,0.0012,0.0000,0.0031,0.0000,0.0063,0.0023,0.0174,0.0006,0.0246,0.0024,0.0013
96,0.0045,0.0009,0.0017,0.0002,0.0143,0.0000,0.0023,0.0000,0.0000,0.0206,0.0015,0.0150,0.0003,0.0000,0.0001,0.0307,0.0012,0.0000,0.0032,0.0000,0.0063,0.0023,0.0173,0.0006,0.0246,0.0025,0.0014
97,0.0045,0.0009,0.0018,0.0002,0.0144,0.0000,0.0024,0.0000,0.0000,0.0211,0.0016,0.0154,0.0004,0.0000,0.0001,0.0311,0.0013,0.0000,0.0033,0.0000,0.0063,0.0023,0.0173,0.0006,0.0247,0.0026,0.0014
98,0.0046,0.0010,0.0019,0.0002,0.0146,0.0000,0.0025,0.0000,0.0000,0.0215,0.0017,0.0158,0.0004,0.0000,0.0001,0.0315,0.0013,0.0000,0.0034,0.0000,0.0063,0.0024,0.0173,0.0007,0.0248,0.0027,0.0015
99,0.0046,0.0010,0.0020,0.0002,0.0147,0.0000,0.0026,0.0000,0.0000,0.0218,0.0017,0.0162,0.0004,0.0000,0.0001,0.0318,0.0013,0.0000,0.0035,0.0000,0.0063,0.0024,0.0173,0.0007,0.0249,0.0027,0.0016
